District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative,true_dbh,pred_dbh,rel_err_pct,in_90,below_sapling_floor,co2_true,co2_pred
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5314238,75.1890986,22.0,7.006369427,7.0,8.0,6.5,7.25,6.92,2.1336,2.2098,1.0,7.006369427,8.014827394202827,14.393445531384582,True,False,28.955909184533045,39.55741042420456
Ahmednagar,Karjat,March 2024,2008.0,Fruit,Custard apple,18.638775,75.0191433,23.0,7.324840764,6.0,6.0,7.0,6.5,15.92,1.8288000000000002,1.9812,1.0,7.324840764,7.271638282370084,-0.7263295318499587,True,False,32.101488156493836,31.563142070525345
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5311633,75.1883117,22.0,7.006369427,8.0,8.0,7.0,7.5,6.92,2.4384,2.286,1.0,7.006369427,8.685089096673957,23.95990801176972,True,False,28.955909184533045,47.659523387315524
Ahmednagar,Shrigonda,July 2023,2021.0,Fruit,Custard apple,18.7931035,74.469104,16.0,5.095541401,5.0,3.0,3.0,3.0,2.25,1.524,0.9144000000000001,1.0,5.095541401,4.447516407009839,-12.717490507740472,True,False,13.831680419711718,10.088488573990977
Ahmednagar,Karjat,July 2023,2019.0,Fruit,Custard apple,18.6320166,75.0207435,13.0,4.140127389,5.0,3.0,3.0,3.0,4.25,1.524,0.9144000000000001,1.0,4.140127389,4.465527521297338,7.859664733068401,True,True,8.544077200340189,10.183526477915562
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5314708,75.1885031,20.0,6.369426752,7.0,6.0,7.0,6.5,6.92,2.1336,1.9812,1.0,6.369426752,7.54341383850523,18.43159725695249,True,False,23.21165870931023,34.36774023271599
Ahmednagar,Karjat,August 2023,2018.0,Fruit,Custard apple,18.6335,75.1037659,33.0,10.50955414,10.0,10.0,10.0,10.0,5.33,3.048,3.048,1.0,10.50955414,10.545204304078094,0.33921671274718546,True,False,74.17694226985951,74.76200943914147
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5314886,75.1887205,21.0,6.687898089,8.5,8.0,7.0,7.5,6.92,2.5908,2.286,1.0,6.687898089,8.863271236360793,32.52700801375494,True,False,25.99353527108367,49.95874757683778
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5314722,75.1895329,22.0,7.006369427,8.5,9.0,8.0,8.5,6.92,2.5908,2.5908,1.0,7.006369427,9.254581528995768,32.08811818189284,True,False,28.955909184533045,55.22568516939829
Ahmednagar,Karjat,February 2024,2017.0,Fruit,Custard apple,18.6334783,75.1031533,36.0,11.46496815,9.0,10.0,11.0,10.5,6.83,2.7432000000000003,3.2004,1.0,11.464968150000002,10.558906646406605,-7.902869783318128,True,False,90.76917493401163,74.98757931878511
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5314267,75.1894383,22.0,7.006369427,9.0,9.0,8.0,8.5,6.92,2.7432000000000003,2.5908,1.0,7.006369427,9.621426129879149,37.32399112158818,True,False,28.955909184533045,60.43783427582323
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.873753,74.4251223,24.0,7.643312102,9.0,6.0,6.5,6.25,3.92,2.7432000000000003,1.905,1.0,7.643312101999999,8.020566689625042,4.9357475213700575,True,False,35.432897434458596,39.6231588661912
Ahmednagar,Jamkhed,March 2024,2022.0,Fruit,Custard apple,18.571794,75.2844334,23.0,7.324840764,6.0,5.0,4.0,4.5,1.92,1.8288000000000002,1.3716000000000002,1.0,7.324840764,5.977635649592251,-18.392278519267872,True,False,32.101488156493836,20.032800742048646
Ahmednagar,Shrigonda,July 2023,2021.0,Fruit,Custard apple,18.7931225,74.4689323,12.0,3.821656051,5.0,3.0,2.0,2.5,2.25,1.524,0.762,1.0,3.821656051,4.021946557565086,5.240934921725277,True,True,7.09605670261685,7.988874072029367
